generic_chemical_label,generic_chemical_class,plain_language_description,typical_mapping_evidence,do_not_map_if,mapping_confidence_notes,rtd_reliability_notes,model_scope_notes
diluent_01,water_diluent,Generic water or low-hazard diluent service.,SDS/process knowledge indicates water/diluent behavior with no stronger reactive class assigned.,"Do not use for unknown chemicals, solvents, aqueous reactive products, or formulated products merely because they are water-based.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,Usually not a positive RTD pathway by itself; confirm dilution and heat-buffering assumptions.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
glycol_ether_solvent_01,glycol_ether_solvent,Generic glycol ether solvent / organic solvent service.,SDS or formulation indicates glycol ether solvent or similar oxygenated organic solvent behavior.,"Do not use for water, alcohols outside the modeled class, or proprietary organics without review.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,Oxidizer-organic scenarios may be fire/pressure dominated and need mechanism review.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
glycol_ether_solvent_02,glycol_ether_solvent,Generic glycol ether solvent / organic solvent service.,SDS or formulation indicates glycol ether solvent or similar oxygenated organic solvent behavior.,"Do not use for water, alcohols outside the modeled class, or proprietary organics without review.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,Oxidizer-organic scenarios may be fire/pressure dominated and need mechanism review.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
glycol_ether_solvent_03,glycol_ether_solvent,Generic glycol ether solvent / organic solvent service.,SDS or formulation indicates glycol ether solvent or similar oxygenated organic solvent behavior.,"Do not use for water, alcohols outside the modeled class, or proprietary organics without review.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,Oxidizer-organic scenarios may be fire/pressure dominated and need mechanism review.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
hydrotrope_01,aromatic_sulfonate_hydrotrope,Generic aromatic sulfonate hydrotrope service.,SDS or formulation indicates hydrotrope/aromatic sulfonate function.,Do not use for generic surfactants or sulfonic acids unless the hydrotrope class is appropriate.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review foaming, miscibility, and stored-service reliability.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
metal_complex_01,metal_ammonium_complex,Generic metal/ammonium complex service.,"SDS, formula, or compatibility review indicates metal complex and ammonium/amine-complex behavior.",Do not use for simple metal salts or generic amines unless both complex and ammonium/amine aspects are relevant.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review toxic gas, metal-complex reactions, precipitation, and nonthermal pathways.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
metal_salt_01,metal_salt,Generic metal salt service.,SDS or product identity indicates metal salt chemistry.,Do not use for metal-ammonium complexes or chelants without confirming the modeled mechanism.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review precipitation, complexation, corrosion, and whether heat generation is truly hazardous/detectable.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
mineral_acid_01,mineral_acid,Generic strong mineral/inorganic acid service.,SDS indicates mineral acid behavior and acid/base neutralization relevance.,"Do not use for weak organic acids, oxidizing acids, or acidic surfactants without separate review.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,Can be a strong positive RTD pathway when paired with bulk strong base and no RTD-defeating mechanism dominates.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
nonionic_surfactant_01,nonionic_surfactant,Generic nonionic surfactant service.,SDS or formulation indicates nonionic surfactant behavior.,"Do not use for anionic, acidic anionic, amphoteric, or amine oxide surfactants unless intentionally mapped.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review foaming, phase behavior, emulsion, and coating/fouling before crediting RTD.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
oxidizer_01,inorganic_oxidizer,Generic inorganic oxidizer service.,SDS or compatibility review indicates inorganic oxidizer behavior distinct from chlorinated oxidizer or oxidizing acid.,Do not use for chlorinated oxidizers or oxidizing acids unless they are intentionally mapped separately.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,Review oxidizer-organic fire/pressure behavior and whether temperature is a creditable safeguard.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
oxidizing_acid_01,oxidizing_acid,Generic oxidizing acid service.,SDS or compatibility review indicates acid plus oxidizing behavior.,Do not use for mineral acids without oxidizing behavior or nonacid oxidizers.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review toxic gas, gas generation, decomposition, corrosion, and oxidizer-organic behavior before crediting RTD.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
phosphate_ester_01,phosphate_ester,Generic phosphate ester service.,SDS or formulation indicates phosphate ester chemistry.,Do not use for generic phosphates or unrelated esters unless mechanism review supports the mapping.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review hydrolysis, surfactant-like behavior, phase behavior, and heat-detectability assumptions.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
polymer_additive_01,proprietary_polymer_additive,Generic proprietary polymer additive service.,Private/internal data mapped the material to a polymer-additive class while avoiding public disclosure of exact chemistry.,Do not use as a catch-all for unknown additives; create an out-of-scope flag when chemistry is uncertain.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,"Review formulation-specific fouling, phase behavior, and mapping confidence.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
polymer_additive_02,proprietary_polymer_additive,Generic proprietary polymer additive service.,Private/internal data mapped the material to a polymer-additive class while avoiding public disclosure of exact chemistry.,Do not use as a catch-all for unknown additives; create an out-of-scope flag when chemistry is uncertain.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,"Review formulation-specific fouling, phase behavior, and mapping confidence.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
polymer_dispersion_01,proprietary_polymer_dispersion,Generic proprietary polymer dispersion service.,Private/internal data mapped the material to a polymer-dispersion class while avoiding public disclosure of exact chemistry.,Do not use for arbitrary dispersed products without SME validation.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review coagulation, fouling, coating, phase separation, viscosity, and representative temperature measurement.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
polymer_dispersion_02,proprietary_polymer,Generic proprietary polymer service.,Private/internal data mapped the material to a polymer class while avoiding public disclosure of exact chemistry.,Do not map a new site chemical to this class without SME review; the public label is intentionally generic.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review viscosity, fouling, gel/precipitate behavior, and whether the public generic class is specific enough.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
polymer_emulsion_01,polymer_emulsion,Generic polymer emulsion / latex / dispersed polymer service.,"SDS or formulation indicates polymer emulsion, latex, or dispersion behavior.",Do not use for simple dissolved polymer solutions or non-emulsion polymers without review.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,"Review coagulation, fouling, coating, phase separation, and representative temperature measurement.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
polymer_emulsion_02,polymer_emulsion,Generic polymer emulsion / latex / dispersed polymer service.,"SDS or formulation indicates polymer emulsion, latex, or dispersion behavior.",Do not use for simple dissolved polymer solutions or non-emulsion polymers without review.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,"Review coagulation, fouling, coating, phase separation, and representative temperature measurement.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
polypropylene_emulsion_01,polymer_emulsion,Generic polymer emulsion / latex / dispersed polymer service.,"SDS or formulation indicates polymer emulsion, latex, or dispersion behavior.",Do not use for simple dissolved polymer solutions or non-emulsion polymers without review.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"Review coagulation, fouling, coating, phase separation, and representative temperature measurement.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
quat_biocide_01,quaternary_ammonium,Generic quaternary ammonium / cationic biocide-type service.,"SDS or formulation indicates quaternary ammonium, cationic surfactant, or quat biocide behavior.","Do not use for amines, alkanolamines, ammoniacal bases, or amine oxides; quats are chemically distinct.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,Review surfactant behavior and oxidizer-organic or incompatibility pathways before crediting RTD.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
strong_base_01,alkali_base,Generic strong alkaline/caustic base service.,SDS and process knowledge indicate strong alkali/base behavior such as caustic neutralization potential.,"Do not use for weak amines, ammoniacal bases, alkanolamines, alkaline silicates, or buffered low-alkalinity materials unless explicitly reviewed.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,"Often more RTD-practical than fouling/polymer services, but concentration, dilution, and reaction rate still require validation.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
strong_base_02,alkali_base,Generic strong alkaline/caustic base service.,SDS and process knowledge indicate strong alkali/base behavior such as caustic neutralization potential.,"Do not use for weak amines, ammoniacal bases, alkanolamines, alkaline silicates, or buffered low-alkalinity materials unless explicitly reviewed.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain. Numbered labels represent separate sanitized modeled services within the same generic class; a new site should not guess which number applies without a private mapping decision or synthetic-demo design.,"Often more RTD-practical than fouling/polymer services, but concentration, dilution, and reaction rate still require validation.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
sulfonic_acid_surfactant_01,acidic_anionic_surfactant,Generic acidic anionic surfactant or sulfonic-acid surfactant service.,"SDS, formulation description, or compatibility review indicates acidic surfactant, sulfonic acid surfactant, or acidic anionic surface-active material.","Do not use for a neutral anionic surfactant, generic mineral acid, or non-surfactant sulfonic acid unless SME review confirms the mechanism match.",Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"May require stored-service RTD reliability review because surfactants can foam, coat, emulsify, or mix non-ideally.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
volatile_base_01,ammoniacal_base,Generic volatile ammoniacal or amine-base service.,"SDS or process knowledge indicates ammonia, ammonium hydroxide, volatile amine, or ammoniacal basic behavior.",Do not use for nonvolatile caustic bases or alkanolamines if volatility/ammoniacal behavior is not present.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,Review toxic vapor/gas evolution and whether temperature is the right safeguard type.,This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
wax_emulsion_01,nonionic_wax_emulsion,Generic nonionic wax/emulsion service.,"SDS or formulation indicates wax emulsion, polymer/wax dispersion, or similar nonionic emulsion behavior.",Do not use for simple nonionic surfactants or non-emulsion organics without review.,Assign High only when SDS/formulation/process knowledge clearly supports this class; assign Medium when class is likely but formulation details are incomplete; assign Low or Out of scope when mapping is uncertain.,"High likelihood of phase, coating, fouling, or nonrepresentative temperature concerns.",This is a sanitized Phase 1 public vocabulary item. It is not a complete chemical taxonomy and should not be used as a stand-alone compatibility authority.
